time,core1,core2,core3,core4
000289,000001,000000,000001,000000
000290,000001,000000,000000,000000
000291,000000,000000,000000,000000
000292,000000,000000,000000,000000
000293,000000,000000,000000,000000
000294,000000,000000,000002,000000
000295,000001,000000,000000,000000
000296,000000,000000,000000,000000
000297,000000,000000,000000,000000
000298,000001,000000,000001,000000
000299,000001,000000,000002,000000
000300,000002,000000,000001,000001
000301,000000,000000,000000,000000
000302,000000,000000,000001,000000
000303,000000,000000,000000,000000
000304,000001,000000,000000,000000
000305,000000,000000,000001,000001
000306,000002,000000,000001,000000
000307,000001,000000,000000,000000
000308,000000,000000,000000,000000
000309,000003,000000,000004,000000
000310,000002,000000,000002,000000
000311,000001,000000,000000,000000
000312,000000,000000,000001,000000
000313,000002,000000,000001,000000
000314,000000,000000,000002,000000
000315,000001,000000,000000,000000
000316,000000,000000,000000,000000
000317,000000,000000,000000,000000
000318,000001,000001,000001,000000
000319,000001,000000,000001,000000
000320,000001,000000,000002,000000
000321,000002,000001,000000,000000
000322,000000,000000,000000,000000
000323,000001,000000,000001,000000
000324,000000,000000,000000,000000
000325,000000,000000,000000,000000
000326,000000,000000,000001,000000
000327,000000,000000,000000,000000
000328,000001,000000,000000,000000
000329,000000,000000,000000,000000
000330,000000,000000,000001,000000
000331,000000,000001,000000,000000
000332,000000,000000,000000,000000
000333,000001,000000,000001,000000
000334,000001,000000,000000,000000
000335,000000,000001,000001,000000
000336,000000,000002,000000,000000
000337,000000,000000,000000,000000
000338,000000,000000,000000,000000
000339,000000,000000,000000,000000
000340,000000,000000,000000,000000
000341,000000,000000,000000,000000
000342,000000,000000,000000,000000
000343,000000,000000,000000,000000
000344,000000,000001,000001,000001
000345,000000,000000,000000,000000
000346,000001,000000,000000,000000
000347,000000,000000,000000,000000
000348,000000,000001,000000,000000
000349,000000,000000,000000,000000
000350,000000,000000,000000,000000
000351,000001,000000,000000,000000
000352,000000,000000,000001,000000
000353,000000,000000,000000,000000
000354,000001,000000,000002,000000
000355,000000,000000,000000,000000
000356,000000,000000,000000,000000
000357,000001,000000,000000,000000
000358,000000,000000,000000,000000
000359,000000,000000,000000,000000
000360,000000,000000,000000,000000
000361,000000,000000,000000,000001
000362,000000,000000,000000,000000
000363,000000,000001,000000,000001
000364,000000,000001,000000,000000
000365,000000,000000,000000,000001
000366,000000,000001,000000,000000
000367,000000,000000,000000,000000
000368,000001,000000,000000,000000
000369,000000,000000,000000,000000
000370,000000,000000,000000,000000
000371,000000,000000,000000,000000
000372,000000,000001,000000,000001
000373,000000,000000,000000,000000
000374,000000,000001,000000,000000
000375,000000,000000,000000,000000
000376,000000,000000,000000,000001
000377,000000,000000,000000,000000
000378,000000,000000,000000,000000
000379,000000,000000,000000,000000
000380,000000,000000,000000,000000
000381,000000,000000,000000,000000
000382,000000,000000,000000,000000
000383,000000,000000,000000,000000
000384,000000,000000,000000,000000
000385,000000,000000,000000,000000
000386,000000,000001,000000,000000
000387,000000,000000,000000,000000
000388,000001,000000,000000,000000
000389,000000,000000,000000,000000
000390,000000,000000,000000,000000
000391,000000,000000,000002,000000
000392,000000,000001,000000,000000
000393,000000,000000,000000,000000
000394,000001,000000,000000,000000
000395,000000,000000,000000,000000
000396,000000,000000,000000,000000
000397,000000,000000,000000,000000
000398,000000,000001,000000,000000
000399,000000,000000,000000,000000
